step,avg_interval_loss,train_ppl,lr,grad_norm,interval_sec,steps_per_sec,sec_per_step,examples_seen,approx_epochs,batch_input_len,batch_label_len,cuda_mem_alloc_gb,cuda_mem_peak_gb,text_eval_sec,text_samples,text_batches,bleu,chrf,comet,bleu_en_to_ar,bleu_ar_to_en,chrf_en_to_ar,chrf_ar_to_en
1600,5.412221848964691,224.1290156924288,0.0002991597353181723,1.5433156490325928,21.92340064048767,1.8245344623282964,0.5480850160121917,204800,0.13746331850411989,14,14,0.8241519927978516,2.747465133666992,6.151675701141357,64,4,0.6774903106659806,10.584905336122526,,0.3630867288531462,0.9772208529206499,8.523854080352324,12.250036234751896
1640,5.361628119647503,213.07157021028445,0.00029909871270961753,1.582147479057312,64.10738611221313,0.6239530641599436,1.6026846528053285,209920,0.14089990146672288,20,20,0.8357806205749512,2.747465133666992,4.974867820739746,64,4,0.5073664010400074,12.195538286845663,,0.38663044764380816,0.6621873427657526,12.042263246617845,12.370839555491287
1680,5.303105941414833,200.96001168280972,0.00029903555866973874,1.7281635999679565,20.14553475379944,1.9855516613901758,0.5036383688449859,215040,0.14433648442932587,21,16,0.8281822204589844,2.747465133666992,4.32074499130249,64,4,0.55260835072175,11.350062361157901,,0.4460147634891131,0.6076597541225786,10.574247747813716,11.802431637009573
1720,5.3211310967803005,204.61519073546154,0.00029897027420233745,1.6399133205413818,19.03522038459778,2.101367842967856,0.4758805096149445,220160,0.14777306739192886,22,24,0.8434724807739258,2.747465133666992,4.270958185195923,64,4,0.5275852258400123,11.53816672240607,,0.37957807603329347,0.6456781036922936,10.470218144247593,12.342323466244661
1760,5.284449917078018,197.24565213560825,0.0002989028603450772,1.5813462734222412,17.91180181503296,2.2331645031059315,0.447795045375824,225280,0.15120965035453185,25,25,0.8454728126525879,2.747465133666992,4.357014179229736,64,4,0.7072082527117962,12.535621741316161,,0.34526207496063166,1.014124153627687,10.583339535873414,13.990418853668501
1800,5.258287817239761,192.15220978169123,0.00029883331816946737,1.6672255992889404,17.621681690216064,2.2699309125648806,0.4405420422554016,230400,0.15464623331713487,20,17,0.8300585746765137,2.747465133666992,4.235552549362183,64,4,0.7496979086147091,12.76319575566213,,0.665704036626933,0.785185973702836,11.827777657758649,13.163263028805536
1840,5.237905569374561,188.2753594902081,0.00029876164878084565,1.6872398853302002,18.309457778930664,2.1846632752843944,0.4577364444732666,235520,0.15808281627973786,16,12,0.8203978538513184,2.747465133666992,4.47933554649353,64,4,0.5140780152805431,10.621537486595155,,0.1867597236128754,0.8265161479011465,10.017372210466808,11.22204329618817
1880,5.176594103872776,177.07867119823027,0.0002986878533183607,1.7162624597549438,18.870080947875977,2.1197577323854784,0.47175202369689945,240640,0.16151939924234085,20,18,0.8319659233093262,2.747465133666992,4.363421678543091,64,4,0.711057116386516,11.855438940525408,,0.32220896995996584,0.9322686500489831,12.634460048593157,11.390237863637411
1920,5.161212100833654,174.3756884788521,0.0002986119329549543,1.7476115226745605,19.24419593811035,2.078548780559118,0.4811048984527588,245760,0.16495598220494384,23,15,0.8271446228027344,2.747465133666992,4.393935680389404,64,4,0.5928202459502252,11.886565716952472,,0.43556387830479243,0.7262125883841545,11.216321389904186,12.38012937550106
1960,5.05627052038908,157.00388030935198,0.0002985338888973422,1.6432113647460938,18.88400936126709,2.1181942475650235,0.4721002340316772,250880,0.16839256516754683,34,30,0.8552865982055664,2.747465133666992,4.474482774734497,64,4,0.5910495544317187,12.47729441192061,,0.2910097248853459,0.7957746343985541,11.553749361445027,13.266469501069157
